time,rotor,leg_len,leg_wid,clip,trt
2.03,1,0,0,1,ad
1.99,0,0,0,0,1
1.7,1,1,1,0,abc
1.93,0,0,1,0,c
1.32,0,1,1,1,bcd
1.68,0,1,0,1,bd
1.58,0,0,1,1,cd
1.77,0,1,0,1,bd
1.91,0,0,0,0,1
1.93,1,1,0,0,ab
1.5,0,1,1,1,bcd
1.98,1,1,0,1,abd
1.86,0,1,0,0,b
2.1,1,0,1,0,ac
1.95,0,1,0,0,b
1.5,1,1,1,1,abcd
1.56,0,1,1,1,bcd
1.48,1,0,1,1,acd
1.68,0,0,0,1,d
2,0,1,1,0,bc
1.6,1,1,1,1,abcd
2,0,0,0,1,d
1.58,1,1,1,1,abcd
2,0,1,1,0,bc
2.03,1,1,1,0,abc
1.48,0,0,1,0,c
1.95,0,0,1,0,c
2.12,1,0,0,1,ad
1.46,1,0,1,1,acd
1.66,0,1,0,1,bd
1.46,0,1,1,1,bcd
1.88,1,0,1,1,acd
1.7,0,1,0,1,bd
1.96,0,1,0,0,b
1.83,1,1,0,0,ab
1.98,1,0,1,0,ac
1.83,1,1,1,1,abcd
1.85,0,0,0,0,1
1.8,1,1,0,1,abd
1.78,0,1,1,0,bc
1.61,1,1,1,1,abcd
2.17,1,0,0,1,ad
2.23,1,0,1,0,ac
1.96,1,0,0,0,a
1.92,0,1,0,0,b
1.85,1,1,1,0,abc
2.01,0,0,1,0,c
1.7,0,0,0,1,d
1.73,1,0,0,0,a
1.53,0,1,1,0,bc
2.05,1,1,0,1,abd
1.96,0,0,0,0,1
1.87,0,1,0,0,b
1.93,1,1,0,0,ab
2,1,1,1,0,abc
1.46,0,0,1,1,cd
1.89,0,0,0,0,1
2.05,0,0,0,1,d
2.05,0,0,0,1,d
2.22,1,0,1,0,ac
1.93,0,0,1,0,c
1.88,1,0,1,1,acd
1.62,0,1,0,1,bd
1.7,0,0,1,1,cd
2.02,1,1,1,0,abc
2.25,1,0,1,0,ac
1.96,1,0,0,0,a
1.87,1,1,0,1,abd
1.93,1,1,0,1,abd
1.88,1,0,0,0,a
1.97,0,1,1,0,bc
2.23,1,1,0,0,ab
2.18,1,0,0,1,ad
2.17,1,0,0,0,a
1.46,0,1,1,1,bcd
2.07,1,1,0,0,ab
2.08,1,0,0,1,ad
1.53,0,0,1,1,cd
1.63,0,0,1,1,cd
1.92,1,0,1,1,acd
